label,Quotes
HARRIS,"[' Five million assault weapons are on the streets of America today. During the course of this debate, eight people will die from gun violence. The leading cause of death of young black men in America is gun violence, more than the top other six reasons, totaled. This is a serious matter. I have personally hugged more mothers of homicide victims than I care to tell you. I have looked at more autopsy photographs than I care to tell you. I have attended more police officer funerals than I care to tell you. I’m done. And we need action. And Congress has had years to act and failed because they do not have the courage. When I’m elected, I’ll give them 100 days to pull their act together, put a bill on my desk for signature, and if they don’t, I will take executive action and put in place a comprehensive background check requirement, and ban the importation of assault weapons into our country, ’cause it is time to act.']"
HARRIS,"[' So what I am saying is that it seems to me that you would be able to join me in saying the rule has to apply to Twitter, the same way, it does to Facebook.']"
HARRIS,"[' Who has spent full time… Who has spent full time criticizing people on this stage as affiliated with the Democratic Party. When Donald Trump was elected, not even sworn in, buddied up to Steve Bannon to get a meeting with Donald Trump in the Trump Tower, fails to call a war criminal by what he is as a war criminal, and then spends full time during the course of this campaign, again, criticizing the Democratic Party. What we need on this stage in November is someone who has the ability to win, and by that, we need someone on that stage who has the ability to go toe to toe with Donald Trump and someone who has the ability to rebuild the Obama coalition and bring the party and the nation together. I believe I am that candidate.']"
WARREN,"[' So let’s be clear, whenever someone hears the term Medicare for all who want it, understand what that really means, it’s Medicare for all who can afford it, and that’s the problem we’ve got. Medicare for all is the gold standard, it is the way we get healthcare coverage for every single American, including the family whose child has been diagnosed with cancer, including the person who’s just gotten an Tom Steyer diagnosis, that’s how we make sure that everyone gets healthcare. We can pay for this, I’ve laid out the basic principles, costs are going to go up for the wealthy, they’re going to go up for big corporations, they will not go up for middle class families and I will not sign a bill into law if that raises their costs, because costs are what people care about. I’ve been studying this for the biggest part of my life, why people go bankrupt.']"
WARREN,"[' This morning. I announced this morning that I’m not going to take any money from big tech executives, from Wall Street executives, we’ve already agreed, Bernie and I, we’re not taking any money from big pharma executives. You can’t go behind closed doors and take the money of these executives and then turn around and expect that these are the people who are actually finally going to enforce the laws. We need campaign finance rules and practices…']"
HARRIS,"[' You asked earlier about China. It’s a complicated relationship. We have to hold China accountable. They steal our products, including our intellectual property. They dump substandard products into our economy. They need to be held accountable. We also need to partner with China on climate and the crisis that that presents. We need to partner with China on the issue of North Korea. I am on, and I think the only person on this stage, the Senate Intelligence Committee and the Senate Homeland Security Committee. We need a partner on the issue of North Korea. But the bottomline is this, Donald Trump in office on trade policy, he reminds me of that guy in the Wizard of Oz, when you pull back the curtain, it’s a really small dude.']"
BUTTIGIEG,"[' The problem isn’t the polls. The problem is the policy. And I don’t need lessons from you on courage, political or personal. Everyone on this stage is determined to get something done. Everyone on this stage recognizes, or at least I thought we did, that the problem is not other Democrats who don’t agree with your particular idea of how to handle this. The problem is the National Rifle Association and their enablers in Congress and we should be united in taking the fight to them.']"
BOOKER,"[' I’m so grateful, again, as a mayor who was a mayor during a recession, who was a mayor during a housing crisis, who started my career as a tenants’ rights lawyer, these are all good points. But we’re not talking about something that is going on all over America, which is gentrification, and low income families being moved further and further out, often compounding racial segregation. And so all of these things we need to put more federal dollars in it, but we’ve got to start empowering people. We use our tax code to move wealth up. The mortgage interest deduction. My plan is very simple. If you are a renter who pays more than a third of your income in rent, then you will get a refundable tax credit between the amount you’re paying and the area median rent. That empowers people in the same way we empower homeowners. And what that does is it actually slashes poverty, 10 million people out. And, by the way, for those people who are facing eviction, it is about time that the only people, when they show up in rentals court that have a lawyer it’s not the landlord, it is also low-income family struggling to stay in their home.']"
KLOBUCHAR,"[' And this president indicated early on what he was going to do and he’s done it. When he was running for office, he literally said women should go to jail, then he dialed it back and said doctors should go to jail, so no surprise that we’re seeing these kinds of laws in Georgia and Alabama where his allies are passing these bills, and what we have to remember is that the people are with us, and I predict this will be a big election… An issue in the general election, and I just can’t wait to stand across from Donald Trump and say this to him, “You know what, the people are with us.” Over 70% of the people support Roe v. Wade. Over 90% of the people support funding for Planned Parenthood and making sure that women can get the healthcare they need. He is off the track on this, and he will hear from the women of America and this is how we’re going to win this election.']"
BUTTIGIEG,"[' Well, the President clearly has no strategy. When I first got into this race, I remember President Trump scoffed and said he’d like to see me making a deal with Xi Jinping. I’d like to see him making a deal with Xi Jinping.']"
