label,Quotes,clean_quote,final_clean,char_count,word_count,word_density,punctuation_count,title_word_count,upper_case_word_count
HARRIS,"[' Five million assault weapons are on the streets of America today. During the course of this debate, eight people will die from gun violence. The leading cause of death of young black men in America is gun violence, more than the top other six reasons, totaled. This is a serious matter. I have personally hugged more mothers of homicide victims than I care to tell you. I have looked at more autopsy photographs than I care to tell you. I have attended more police officer funerals than I care to tell you. I’m done. And we need action. And Congress has had years to act and failed because they do not have the courage. When I’m elected, I’ll give them 100 days to pull their act together, put a bill on my desk for signature, and if they don’t, I will take executive action and put in place a comprehensive background check requirement, and ban the importation of assault weapons into our country, ’cause it is time to act.']",five million assault weapons streets today course debate eight die gun violence leading cause death young black men gun violence top six reasons totaled serious matter personally hugged mothers homicide victims care tell looked autopsy photographs care tell attended police officer funerals care tell im done need action congress years act failed courage im elected ill give 100 days pull act together put bill desk signature dont take executive action put place comprehensive background check requirement ban importation assault weapons country cause time act,five million assault weapon street today course debate eight die gun violence leading cause death young black men gun violence top six reason totaled serious matter personally hugged mother homicide victim care tell looked autopsy photograph care tell attended police officer funeral care tell im done need action congress year act failed courage im elected ill give 100 day pull act together put bill desk signature dont take executive action put place comprehensive background check requirement ban importation assault weapon country cause time act,12,12,8,11,8,9
HARRIS,"[' So what I am saying is that it seems to me that you would be able to join me in saying the rule has to apply to Twitter, the same way, it does to Facebook.']",saying seems would able join saying rule apply twitter way facebook,saying seems would able join saying rule apply twitter way facebook,0,1,0,2,1,1
HARRIS,"[' Who has spent full time… Who has spent full time criticizing people on this stage as affiliated with the Democratic Party. When Donald Trump was elected, not even sworn in, buddied up to Steve Bannon to get a meeting with Donald Trump in the Trump Tower, fails to call a war criminal by what he is as a war criminal, and then spends full time during the course of this campaign, again, criticizing the Democratic Party. What we need on this stage in November is someone who has the ability to win, and by that, we need someone on that stage who has the ability to go toe to toe with Donald Trump and someone who has the ability to rebuild the Obama coalition and bring the party and the nation together. I believe I am that candidate.']",spent full time spent full time criticizing stage affiliated democratic party donald trump elected even sworn buddied steve bannon get meeting donald trump trump tower fails call war criminal war criminal spends full time course campaign criticizing democratic party need stage november someone ability win need someone stage ability go toe toe donald trump someone ability rebuild obama coalition bring party nation together believe candidate,spent full time spent full time criticizing stage affiliated democratic party donald trump elected even sworn buddied steve bannon get meeting donald trump trump tower fails call war criminal war criminal spends full time course campaign criticizing democratic party need stage november someone ability win need someone stage ability go toe toe donald trump someone ability rebuild obama coalition bring party nation together believe candidate,9,9,7,7,11,2
WARREN,"[' So let’s be clear, whenever someone hears the term Medicare for all who want it, understand what that really means, it’s Medicare for all who can afford it, and that’s the problem we’ve got. Medicare for all is the gold standard, it is the way we get healthcare coverage for every single American, including the family whose child has been diagnosed with cancer, including the person who’s just gotten an Tom Steyer diagnosis, that’s how we make sure that everyone gets healthcare. We can pay for this, I’ve laid out the basic principles, costs are going to go up for the wealthy, they’re going to go up for big corporations, they will not go up for middle class families and I will not sign a bill into law if that raises their costs, because costs are what people care about. I’ve been studying this for the biggest part of my life, why people go bankrupt.']",lets clear whenever someone hears term medicare want understand really means medicare afford thats problem weve got medicare gold standard way get healthcare coverage every single including family whose child diagnosed cancer including person whos gotten tom steyer diagnosis thats make sure everyone gets healthcare pay ive laid basic principles costs going go wealthy theyre going go big corporations go middle class families sign bill law raises costs costs care ive studying biggest part life go bankrupt,let clear whenever someone hears term medicare want understand really mean medicare afford thats problem weve got medicare gold standard way get healthcare coverage every single including family whose child diagnosed cancer including person who gotten tom steyer diagnosis thats make sure everyone get healthcare pay ive laid basic principle cost going go wealthy theyre going go big corporation go middle class family sign bill law raise cost cost care ive studying biggest part life go bankrupt,11,10,9,10,4,1
WARREN,"[' This morning. I announced this morning that I’m not going to take any money from big tech executives, from Wall Street executives, we’ve already agreed, Bernie and I, we’re not taking any money from big pharma executives. You can’t go behind closed doors and take the money of these executives and then turn around and expect that these are the people who are actually finally going to enforce the laws. We need campaign finance rules and practices…']",morning announced morning im going take money big tech executives wall street executives weve already agreed bernie taking money big pharma executives cant go behind closed doors take money executives turn around expect actually finally going enforce laws need campaign finance rules practices,morning announced morning im going take money big tech executive wall street executive weve already agreed bernie taking money big pharma executive cant go behind closed door take money executive turn around expect actually finally going enforce law need campaign finance rule practice,4,4,11,4,3,2
HARRIS,"[' You asked earlier about China. It’s a complicated relationship. We have to hold China accountable. They steal our products, including our intellectual property. They dump substandard products into our economy. They need to be held accountable. We also need to partner with China on climate and the crisis that that presents. We need to partner with China on the issue of North Korea. I am on, and I think the only person on this stage, the Senate Intelligence Committee and the Senate Homeland Security Committee. We need a partner on the issue of North Korea. But the bottomline is this, Donald Trump in office on trade policy, he reminds me of that guy in the Wizard of Oz, when you pull back the curtain, it’s a really small dude.']",asked earlier china complicated relationship hold china accountable steal products including intellectual property dump substandard products economy need held accountable also need partner china climate crisis presents need partner china issue north korea think person stage senate intelligence committee senate homeland security committee need partner issue north korea bottomline donald trump office trade policy reminds guy wizard oz pull back curtain really small dude,asked earlier china complicated relationship hold china accountable steal product including intellectual property dump substandard product economy need held accountable also need partner china climate crisis present need partner china issue north korea think person stage senate intelligence committee senate homeland security committee need partner issue north korea bottomline donald trump office trade policy reminds guy wizard oz pull back curtain really small dude,9,8,10,10,15,2
BUTTIGIEG,"[' The problem isn’t the polls. The problem is the policy. And I don’t need lessons from you on courage, political or personal. Everyone on this stage is determined to get something done. Everyone on this stage recognizes, or at least I thought we did, that the problem is not other Democrats who don’t agree with your particular idea of how to handle this. The problem is the National Rifle Association and their enablers in Congress and we should be united in taking the fight to them.']",problem isnt polls problem policy dont need lessons courage political personal everyone stage determined get something done everyone stage recognizes least thought problem democrats dont agree particular idea handle problem national rifle association enablers congress taking fight,problem isnt poll problem policy dont need lesson courage political personal everyone stage determined get something done everyone stage recognizes least thought problem democrat dont agree particular idea handle problem national rifle association enablers congress taking fight,5,5,9,5,6,2
BOOKER,"[' I’m so grateful, again, as a mayor who was a mayor during a recession, who was a mayor during a housing crisis, who started my career as a tenants’ rights lawyer, these are all good points. But we’re not talking about something that is going on all over America, which is gentrification, and low income families being moved further and further out, often compounding racial segregation. And so all of these things we need to put more federal dollars in it, but we’ve got to start empowering people. We use our tax code to move wealth up. The mortgage interest deduction. My plan is very simple. If you are a renter who pays more than a third of your income in rent, then you will get a refundable tax credit between the amount you’re paying and the area median rent. That empowers people in the same way we empower homeowners. And what that does is it actually slashes poverty, 10 million people out. And, by the way, for those people who are facing eviction, it is about time that the only people, when they show up in rentals court that have a lawyer it’s not the landlord, it is also low-income family struggling to stay in their home.']",im grateful mayor mayor recession mayor housing crisis started career tenants rights lawyer good points talking something going gentrification low income families moved often compounding racial segregation things need put federal dollars weve got start empowering use tax code move wealth mortgage interest deduction plan simple renter pays third income rent get refundable tax credit amount youre paying area median rent empowers way empower homeowners actually slashes poverty 10 million way facing eviction time show rentals court lawyer landlord also lowincome family struggling stay home,im grateful mayor mayor recession mayor housing crisis started career tenant right lawyer good point talking something going gentrification low income family moved often compounding racial segregation thing need put federal dollar weve got start empowering use tax code move wealth mortgage interest deduction plan simple renter pay third income rent get refundable tax credit amount youre paying area median rent empowers way empower homeowner actually slash poverty 10 million way facing eviction time show rental court lawyer landlord also lowincome family struggling stay home,15,15,8,14,4,0
KLOBUCHAR,"[' And this president indicated early on what he was going to do and he’s done it. When he was running for office, he literally said women should go to jail, then he dialed it back and said doctors should go to jail, so no surprise that we’re seeing these kinds of laws in Georgia and Alabama where his allies are passing these bills, and what we have to remember is that the people are with us, and I predict this will be a big election… An issue in the general election, and I just can’t wait to stand across from Donald Trump and say this to him, “You know what, the people are with us.” Over 70% of the people support Roe v. Wade. Over 90% of the people support funding for Planned Parenthood and making sure that women can get the healthcare they need. He is off the track on this, and he will hear from the women of America and this is how we’re going to win this election.']",president indicated early going hes done running office literally said women go jail dialed back said doctors go jail surprise seeing kinds laws georgia alabama allies passing bills remember us predict big election issue general election cant wait stand across donald trump say “you know us” 70 support roe v wade 90 support funding planned parenthood making sure women get healthcare need track hear women going win election,president indicated early going he done running office literally said woman go jail dialed back said doctor go jail surprise seeing kind law georgia alabama ally passing bill remember u predict big election issue general election cant wait stand across donald trump say “you know us” 70 support roe v wade 90 support funding planned parenthood making sure woman get healthcare need track hear woman going win election,11,12,6,9,8,2
BUTTIGIEG,"[' Well, the President clearly has no strategy. When I first got into this race, I remember President Trump scoffed and said he’d like to see me making a deal with Xi Jinping. I’d like to see him making a deal with Xi Jinping.']",well president clearly strategy first got race remember president trump scoffed said hed like see making deal xi jinping id like see making deal xi jinping,well president clearly strategy first got race remember president trump scoffed said hed like see making deal xi jinping id like see making deal xi jinping,1,1,5,3,5,2
BOOKER,"[' First of all, I want to say no. Actually, I want to translate that into Spanish', ' No. Look, on, let’s just be clear, the factory farming going on that’s assaulting this corporate consolidation of the agriculture industry, one of the reasons why I have a bill to put a moratorium on this kind of corporate consolidation is because this factory farming is destroying and hurting our environment. And you see independent family farmers being pushed out of business because of the kind of incentives we are giving that don’t line up with our values. That’s what I’m calling for. But I want to switch because we don’t have a crowded debate stage. We were talking about Afghanistan and Iraq. It annoys me that we had a conversation about our troops overseas and we didn’t say one word about veterans in our country. We have a shameful reality in America that we send people off to war and they often come home with invisible wounds, hurts and harms. They’re disproportionately homeless. You hear stories about women waiting for months for gynecological care through the VA. It is very important that as we, as a country, understand that we are not going to solve every problem with this outrageous increased militarism, that we also make sure that we stand up for the people that stood for us. We end our national anthem with, Home of the brave. It’s about time we make this a better home for our bravest.']",first want say actually want translate spanish  look lets clear factory farming going thats assaulting corporate consolidation agriculture industry one reasons bill put moratorium kind corporate consolidation factory farming destroying hurting environment see independent family farmers pushed business kind incentives giving dont line values thats im calling want switch dont crowded debate stage talking afghanistan iraq annoys conversation troops overseas didnt say one word veterans country shameful reality send war often come home invisible wounds hurts harms theyre disproportionately homeless hear stories women waiting months gynecological care va important country understand going solve every problem outrageous increased militarism also make sure stand stood us end national anthem home brave time make better home bravest,first want say actually want translate spanish look let clear factory farming going thats assaulting corporate consolidation agriculture industry one reason bill put moratorium kind corporate consolidation factory farming destroying hurting environment see independent family farmer pushed business kind incentive giving dont line value thats im calling want switch dont crowded debate stage talking afghanistan iraq annoys conversation troop overseas didnt say one word veteran country shameful reality send war often come home invisible wound hurt harm theyre disproportionately homeless hear story woman waiting month gynecological care va important country understand going solve every problem outrageous increased militarism also make sure stand stood u end national anthem home brave time make better home bravest,19,18,10,15,10,6
SANDERS,[' On the Medicare for all the hospitals will save substantial sums of money because they’re not gonna be spending a fortune doing billing and the other bureaucratic things that they have to do today.'],medicare hospitals save substantial sums money theyre gonna spending fortune billing bureaucratic things today,medicare hospital save substantial sum money theyre gonna spending fortune billing bureaucratic thing today,0,1,10,1,0,0
OROURKE,"[' I would, in my first term in office, agree that there is nothing about perpetuating this war already in its 18th year, that will make it any better. We’ve satisfied the reasons for our involvement in Afghanistan in the first place, and it’s time to bring those service members back home from Afghanistan, but also from Iraq, also from Yemen and Somalia and Libya and Syria. There’s no reason for us to be at war all over the world tonight. As president, I will end those wars and we will not start new wars. We will not send more US service members overseas, to sacrifice their lives and to take the lives of others in our name, we can resolve these challenges…']",would first term office agree nothing perpetuating war already 18th year make better weve satisfied reasons involvement afghanistan first place time bring service members back home afghanistan also iraq also yemen somalia libya syria theres reason us war world tonight president end wars start new wars send us service members overseas sacrifice lives take lives others name resolve challenges,would first term office agree nothing perpetuating war already 18th year make better weve satisfied reason involvement afghanistan first place time bring service member back home afghanistan also iraq also yemen somalia libya syria there reason u war world tonight president end war start new war send u service member overseas sacrifice life take life others name resolve challenge,8,8,8,7,5,3
GABBARD,"[' This is an issue that impacts all of us as Americans and people all over the world. This is not a Democrat issue or a Republican issue, this is about the environmental threats that each and every one of us face, these are the kinds of conversations that we’re having in our town hall meetings and house parties in different parts of the country where we have Democrats, Republicans, Libertarians and Independents coming together saying, “Hey, we are all concerned about making sure that we have clean water to drink for our families, that we have clean air to breathe, that we’re able to raise our kids in a community that’s safe.” It is the hyper-partisanship in Washington, unfortunately, that has created this gridlock that has stood in the way of the kinds of progress that I would bring about, as president.']",issue impacts us americans world democrat issue republican issue environmental threats every one us face kinds conversations town hall meetings house parties different parts country democrats republicans libertarians independents coming together saying “hey concerned making sure clean water drink families clean air breathe able raise kids community thats safe” hyperpartisanship washington unfortunately created gridlock stood way kinds progress would bring president,issue impact u american world democrat issue republican issue environmental threat every one u face kind conversation town hall meeting house party different part country democrat republican libertarian independent coming together saying “hey concerned making sure clean water drink family clean air breathe able raise kid community thats safe” hyperpartisanship washington unfortunately created gridlock stood way kind progress would bring president,10,9,10,8,6,1
BIDEN,"[' This is reassuring in the fact that we’re all acknowledging that we have to reach across the aisle, get things done. No other way to get anything done in this country. The two people maybe would surprise you the most were… He’s been mentioned twice, but John McCain, John McCain worked for me when he worked in the Navy, and he was my… He was assigned to me to travel around the world. We became close friends, he became very close friends with my wife Jill, Visited our home. He was there with his children. And on his death bed he asked me to do his eulogy. John, I would say to John, “John, you didn’t see a war you never wanted to fight.” And he’d say, “You didn’t see a problem you never wanted to solve.” But he was a great man of principle. He was honorable, he was honorable. And one of the things that’s the reason why I’m running, we have to restore the soul of this country. That’s why I’m doing this. In fact, this president has ripped the soul out of this country, divided us in ways that are absolutely outrageous. A liar, he cheats, he does not do anything to promote people generally.']",reassuring fact acknowledging reach across aisle get things done way get anything done country two maybe would surprise hes mentioned twice john mccain john mccain worked worked navy assigned travel around world became close friends became close friends wife jill visited home children death bed asked eulogy john would say john “john didnt see war never wanted fight” hed say “you didnt see problem never wanted solve” great man principle honorable honorable one things thats reason im running restore soul country thats im fact president ripped soul country divided us ways absolutely outrageous liar cheats anything promote generally,reassuring fact acknowledging reach across aisle get thing done way get anything done country two maybe would surprise he mentioned twice john mccain john mccain worked worked navy assigned travel around world became close friend became close friend wife jill visited home child death bed asked eulogy john would say john “john didnt see war never wanted fight” hed say “you didnt see problem never wanted solve” great man principle honorable honorable one thing thats reason im running restore soul country thats im fact president ripped soul country divided u way absolutely outrageous liar cheat anything promote generally,14,15,7,16,11,2
BIDEN,"[' And so we have to just change the culture, period, and keep punching at it and punching at it and punching at it. It will be a big… No, I really mean it. It’s a gigantic issue. And we have to make it clear from the top, from the president on down, that we will not tolerate it. We will not tolerate this culture.']",change culture period keep punching punching punching big really mean gigantic issue make clear top president tolerate tolerate culture,change culture period keep punching punching punching big really mean gigantic issue make clear top president tolerate tolerate culture,2,3,3,6,2,1
STEYER,"[' And over 10 years ago, I saw that there was a terrible threat to the safety and health of every American in terms of the climate crisis and I’ve been fighting those companies with the help of the American people ever since, successfully. And that’s why I’m running for president because our government has failed, it’s been bought by corporations and it’s absolutely essential to return power to the people.']",10 years ago saw terrible threat safety health every terms climate crisis ive fighting companies help ever since successfully thats im running president government failed bought corporations absolutely essential return power,10 year ago saw terrible threat safety health every term climate crisis ive fighting company help ever since successfully thats im running president government failed bought corporation absolutely essential return power,4,3,10,3,2,1
